Start,distance,steps,flights,active_cals,stepgoal
4/14/19,17.91206094,25578,1,1766.907,Step Goal Complete!
4/15/19,4.513035042,7865.635863,15,439.7450728,Step Goal Fail
4/16/19,6.117653666,10909,17,653.6808711,Step Goal Complete!
4/17/19,5.782566897,10118.0946,17,635.4076279,Step Goal Complete!
4/18/19,5.825290391,9986,13,604.9132376,Step Goal Fail
4/19/19,6.52141723,11162.43163,14,577.8587483,Step Goal Complete!
4/20/19,3.261717279,5724,1,342.5746614,Step Goal Fail
4/21/19,6.831111001,12049.07721,4,621.856781,Step Goal Complete!
4/22/19,6.81349876,11709,15,599.1667554,Step Goal Complete!
4/23/19,8.505371817,14437,13,826.6282446,Step Goal Complete!
4/24/19,11.28759863,19076.24676,9,941.892,Step Goal Complete!
4/25/19,5.269432345,9224,17,616.640531,Step Goal Fail
4/26/19,8.602217358,14724.67455,14,728.0647654,Step Goal Complete!
4/27/19,5.877169858,10373.80933,2,501.5017036,Step Goal Complete!
4/28/19,4.403217758,7698,8,451.842,Step Goal Fail
4/29/19,7.900612117,13711,12,762.021,Step Goal Complete!
4/30/19,7.9605862,13835,11,684.8159913,Step Goal Complete!
5/1/19,11.64445204,19626,9,994.2064404,Step Goal Complete!
5/2/19,9.627375708,16477.39356,9,791.7910759,Step Goal Complete!
5/3/19,7.41733077,13127.64365,11,655.408354,Step Goal Complete!
5/4/19,10.55013131,16178.6561,3,1027.924138,Step Goal Complete!
5/5/19,5.888202516,10426.1627,1,542.1139499,Step Goal Complete!
5/6/19,7.585108942,13406.60928,14,693.7290335,Step Goal Complete!
5/7/19,7.442451921,12993.22802,14,709.4619914,Step Goal Complete!
5/8/19,3.912995569,6855,19,548.8260733,Step Goal Fail
5/9/19,4.017239301,7094.267994,16,643.6582175,Step Goal Fail
5/10/19,5.896940164,10551,21,532.0341405,Step Goal Complete!
5/11/19,5.976919415,10521.66086,11,569.5065939,Step Goal Complete!
5/12/19,8.751830476,14913,14,711.21,Step Goal Complete!
5/13/19,6.610228708,11477,11,611.7643811,Step Goal Complete!
5/14/19,8.057615271,13635,10,667.0516189,Step Goal Complete!
5/15/19,5.725643355,10005,8,505.5075381,Step Goal Complete!
5/16/19,6.348564517,11099.08332,14,591.8795886,Step Goal Complete!
5/17/19,5.757216028,9841.916685,13,735.1871995,Step Goal Fail
5/18/19,5.330269603,9354,8,672.5878236,Step Goal Fail
5/19/19,4.845442066,8239.237685,2,450.0328501,Step Goal Fail
5/20/19,3.911571299,7070,19,343.5851299,Step Goal Fail
5/21/19,3.811946366,6631.898956,13,388.2048701,Step Goal Fail
5/22/19,6.086104784,10296,7,563.477,Step Goal Complete!
5/23/19,3.507117845,6243,10,331.6097222,Step Goal Fail
5/24/19,7.189055139,11534,8,702.0412778,Step Goal Complete!
5/25/19,3.995640636,7056,1,410.0799517,Step Goal Fail
5/26/19,5.408836134,9409,4,565.2830483,Step Goal Fail
5/27/19,6.152776474,10684.76595,8,585.3437585,Step Goal Complete!
5/28/19,5.983020833,10380.08947,7,639.2020767,Step Goal Complete!
