"Year","Sex","Hgt","Wgt","Hand","Haircut","GPA","Exercise","Sport","TV","Award","Pulse","Computer","SocialMedia"
"FirstYear","M",72,195,"right",23,3.4,10,"Yes",10,"Nobel",74,"Mac","Twitter"
"FirstYear","M",70,155,"right",10,3.75,15,"Yes",15,"Olympic",38,"Mac","Instagram"
"FirstYear","F",64,132,"right",20,3.35,2,"No",10,"Nobel",97,"PC","Instagram"
"FirstYear","F",66,150,"right",130,3.3,6,"No",10,"Nobel",43,"PC","Instagram"
"Sophomore","M",71,165,"right",20,3.58,2,"No",10,"Olympic",70,"Mac","Snapchat"
"FirstYear","M",71,185,"right",23,3,17,"Yes",5,"Nobel",68,"PC","Twitter"
"FirstYear","F",69,155,"left",50,3.3,7,"Yes",15,"Olympic",73,"Mac","Snapchat"
"Sophomore","M",68,158,"right",30,3.3,5,"Yes",8,"Nobel",63,"Mac","Instagram"
"FirstYear","F",65,125,"right",20,3.06,2,"Yes",3,"Olympic",68,"PC","Snapchat"
"FirstYear","M",NA,NA,"right",12,NA,NA,"No",5,"Nobel",NA,NA,"Other"
"FirstYear","F",64,131,"right",130,3.1,6,"No",3,"Academy",65,"Mac","Instagram"
"Senior","F",69,160,"right",60,3.5,2,"No",8,"Nobel",80,"Mac","Snapchat"
"Sophomore","M",71,170,"right",15,3.6,16,"Yes",8,"Olympic",60,"Mac","Instagram"
"Sophomore","F",66,135,"right",100,3.25,14,"Yes",7,"Olympic",NA,"Mac","Snapchat"
"FirstYear","M",72,160,"right",20,3.08,4,"No",0,"Olympic",84,"Mac","Instagram"
"FirstYear","F",64,130,"right",NA,3.3,5,"Yes",8,"Olympic",78,"Mac","Snapchat"
"Sophomore","F",69,140,"right",50,3,1,"No",8,"Academy",79,"Mac","Instagram"
"Sophomore","F",64,131,"right",20,3.7,13,"Yes",2,"Olympic",78,"PC","Instagram"
"FirstYear","F",64,125,"right",30,3.2,14,"Yes",3,"Olympic",60,"Mac","Snapchat"
"Senior","M",71,170,"right",12,3.5,3,"No",0,"Olympic",82,"Mac","Instagram"
"Sophomore","F",67,145,"left",17,3.3,16,"Yes",12,"Olympic",68,"PC","Instagram"
"Junior","F",70,170,"right",20,3.4,20,"Yes",30,"Olympic",67,"PC","Facebook"
"Sophomore","M",74,210,"left",50,3.81,30,"Yes",20,"Olympic",80,"Mac","Instagram"
"Sophomore","F",64,185,"right",0,3.3,1,"No",5,"Nobel",66,"Mac","Facebook"
"Sophomore","F",67,140,"left",30,3.04,15,"Yes",4,"Nobel",72,"Mac","Snapchat"
"Sophomore","M",75,200,"right",30,3.4,35,"Yes",10,"Olympic",54,"Mac","Snapchat"
"FirstYear","M",73,180,"right",25,3.4,7,"No",12,"Olympic",64,"Mac","Instagram"
"Sophomore","F",64,130,"left",70,3.2,2.5,"Yes",15,"Nobel",94,"Mac","Snapchat"
"FirstYear","F",NA,125,"right",38,2.8,4,"Yes",5,"Olympic",55,"Mac","Snapchat"
"Sophomore","M",80,245,"right",20,3.32,35,"Yes",14,"Olympic",56,"Mac","Instagram"
"FirstYear","M",69,173,"right",25,3.17,8,"Yes",5,"Academy",69,"PC","Twitter"
"FirstYear","F",61,130,"right",20,3.83,5,"No",5,"Nobel",74,"Mac","Snapchat"
"Sophomore","F",64,130,"right",40,3.7,6,"Yes",4,"Nobel",89,"Mac","Snapchat"
"FirstYear","M",70,182,"right",35,3.5,10,"Yes",17,"Olympic",NA,"Mac","Instagram"
"Sophomore","M",67,191,"right",17,2.8,15,"Yes",7,"Olympic",75,"Mac","Snapchat"
"FirstYear","M",71,170,"right",30,3.75,25,"Yes",14,"Nobel",80,"Mac","Instagram"
"Senior","M",70,160,"right",15,3.78,3,"No",6,"Nobel",70,"Mac","Snapchat"
"Sophomore","F",67,150,"right",0,3.5,3,"No",1,"Olympic",70,"Mac","Instagram"
"Sophomore","M",65,135,"right",14,3.3,4,"No",3,"Academy",84,"PC","Snapchat"
"FirstYear","M",72,180,"right",35,3.75,8,"No",3,"Olympic",63,"Mac","Instagram"
"FirstYear","F",63,110,"right",27,3.67,0,"No",21,"Academy",96,"PC","Snapchat"
"FirstYear","F",64,150,"left",35,3.9,2,"No",10,"Olympic",70,"Mac","Instagram"
"Sophomore","F",66,140,"right",10,3.39,10,"Yes",5,"Olympic",65,"Mac","Snapchat"
"FirstYear","F",62,140,"right",65,3.5,18,"Yes",3,"Olympic",70,"Mac","Snapchat"
"Sophomore","F",62,144,"right",3,3,5,"No",5,"Nobel",72,"PC","Snapchat"
"Senior","M",72,135,"right",20,3.3,9,"No",20,"Nobel",80,"PC","Instagram"
"FirstYear","M",73,180,"right",25,3.5,10,"Yes",9,"Olympic",64,"Mac","Snapchat"
"Junior","M",73,170,"left",0,3.5,0,"No",4,"Nobel",56,"Mac","Facebook"
"FirstYear","M",67,166,"right",12,3,8,"Yes",3,"Academy",75,"Mac","Snapchat"
"FirstYear","M",70,147,"right",26,2.7,18,"Yes",0.5,"Olympic",78,"Mac","Snapchat"
"FirstYear","M",71,145,"right",20,2.9,8,"Yes",14,"Olympic",106,"Mac","Snapchat"
"Sophomore","M",69,160,"left",12,3,8,"Yes",10,"Olympic",60,"Mac","Facebook"
"FirstYear","F",61,124,"right",20,3,0,"No",5,"Nobel",93,"PC","Other"
"Sophomore","F",63,110,"right",45,3.32,5,"No",5,"Academy",64,"Mac","Other"
"Sophomore","F",63,125,"right",20,3.3,0,"No",4,"Nobel",72,"Mac","Instagram"
"Sophomore","F",69,140,"right",120,3.48,3,"No",4,"Nobel",75,"Mac","Snapchat"
"Sophomore","M",77,183,"right",35,NA,8,"No",10,"Olympic",65,"Mac","Instagram"
"Sophomore","M",72,170,"right",30,3.4,15,"Yes",12,"Nobel",72,"Mac","Snapchat"
"Senior","F",60,125,"right",0,3.72,12,"No",10,"Olympic",60,"Mac","Instagram"
"FirstYear","M",77,210,"right",30,3.6,5,"Yes",4,"Nobel",62,"Mac","Instagram"
"Sophomore","M",69,144,"right",18,3.4,6,"No",6,"Olympic",80,"Mac","Instagram"
"FirstYear","M",72,150,"right",35,3.93,8,"No",5,"Olympic",60,"Mac","Snapchat"
"FirstYear","F",66,150,"right",150,3.8,2,"No",2,"Academy",78,"Mac","Snapchat"
"FirstYear","F",66,150,"left",30,3.44,7,"No",10,"Nobel",90,"Mac","Snapchat"
"FirstYear","F",68,143,"right",325,NA,8,"No",7,NA,63,"Mac","Instagram"
"Sophomore","M",73,170,"right",50,3.6,2,"No",5,"Nobel",78,"Mac","Snapchat"
"FirstYear","M",71,170,"right",10,3.4,3,"No",15,"Olympic",NA,"Mac","Snapchat"
"FirstYear","F",65,150,"right",65,3.44,5,"No",10,"Olympic",75,"Mac","Instagram"
"Sophomore","F",65,145,"right",30,3.46,0,"No",20,"Nobel",36,"Mac","Instagram"
"FirstYear","F",64,118,"right",190,2.5,2,"No",5,"Nobel",66,"Mac","Snapchat"
"FirstYear","F",64,156,"right",60,3.89,6,"Yes",10,"Nobel",62,"Mac","Snapchat"
"Junior","M",72,184,"right",21,3.82,4.5,"No",3,"Nobel",65,"Mac","Snapchat"
"FirstYear","M",71,200,"right",0,3.4,10,"Yes",5,"Olympic",70,"PC","Snapchat"
"FirstYear","F",61,147,"right",0,2.7,4,"No",18,"Nobel",65,"Mac","Instagram"
"FirstYear","M",72,150,"right",20,2.9,6,"No",4,"Nobel",68,"Mac","Instagram"
"FirstYear","F",68,150,"right",75,3.44,3,"No",10,"Nobel",72,"Mac","Snapchat"
"FirstYear","M",75,173,"right",20,3.25,10,"Yes",4,"Olympic",65,"Mac","Snapchat"
"FirstYear","M",77,140,"right",25,3.1,2,"No",15,"Nobel",100,"PC","Instagram"
"FirstYear","F",NA,100,"right",35,3.5,5,"No",10,"Academy",NA,"Mac","Snapchat"
